Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
5.755204200744629	0	-3.921336	15.286615	51.541656	-33.26512	41.88194444444444	15.333558208395301	6031	6031
9.598671197891235	1	-3.2087147	15.329874	69.69052	-30.945707	42.56737588652482	14.84592499168406	6002	12033
15.39022707939148	2	-3.4450355	14.884532	67.949814	-29.0167	42.17482517482517	16.01324394408556	6031	18064
19.9033420085907	3	-3.8544471	14.607948	79.91666	-26.886234	41.513698630136986	15.593393534974146	6061	24125
23.88150906562805	4	-2.2671213	16.108465	51.357197	-29.062706	43.80434782608695	16.968367285710936	6045	30170
27.238115072250366	5	-0.55167645	18.483238	89.39668	-28.11966	45.1578947368421	18.788030946484586	6006	36176
30.611120223999023	6	-4.9372835	11.701874	30.676533	-28.67772	40.38926174496644	11.38744829404772	6018	42194
33.92325496673584	7	-3.9226859	14.369492	43.890297	-33.530178	41.97202797202797	13.84678602780865	6002	48196
37.563353061676025	8	-3.534997	14.411517	40.37574	-28.821634	41.78472222222222	14.627866857875361	6017	54213
41.21029210090637	9	-1.7692499	17.049143	75.99898	-30.367487	43.53623188405797	16.720272959203978	6008	60221
44.90975308418274	10	-2.636288	15.692171	66.12071	-30.196077	42.91428571428571	15.531298222936675	6008	66229
48.9878511428833	11	-2.9187791	15.927899	53.123085	-39.780415	42.06993006993007	15.91790580352626	6016	72245
53.33695411682129	12	-4.1701903	14.913291	51.044292	-39.56397	41.61379310344827	14.486229469156418	6034	78279
59.07425785064697	13	-3.5006227	15.844323	81.89438	-29.386204	41.8125	15.835950989757452	6021	84300
64.21383595466614	14	-5.275151	13.545801	63.109543	-28.880701	40.13333333333333	13.298454379697247	6020	90320
68.03174495697021	15	-2.558919	13.3374	60.442657	-28.416042	42.0979020979021	13.26613791497836	6020	96340
72.00294399261475	16	-5.3664765	13.792797	58.697704	-33.23788	40.33557046979866	13.76388169956662	6010	102350
76.25023317337036	17	-4.2310066	15.875071	46.239784	-29.37149	41.205479452054796	16.3388426210299	6016	108366
80.57795310020447	18	-4.212256	13.55124	46.655712	-31.420124	41.10958904109589	13.487245770032137	6002	114368
85.3461241722107	19	-0.312984	14.663531	53.505486	-31.40762	45.18796992481203	14.83348699666732	6010	120378
89.01097393035889	20	-4.349841	14.827813	45.270813	-33.748344	41.86805555555556	15.031562408524206	6029	126407
92.59013605117798	21	-1.7827885	17.152699	61.533226	-33.683685	43.802919708029194	17.20500666227792	6001	132408
96.25741410255432	22	-4.933509	14.871591	55.619537	-33.266888	40.66216216216216	14.852224355228	6018	138426
100.51836895942688	23	-4.710421	12.414645	37.006824	-28.770782	40.89795918367347	12.191630168898856	6012	144438
103.88946199417114	24	-5.5756054	13.316854	44.02986	-33.26776	40.019867549668874	12.955077860304925	6043	150481
107.42402505874634	25	-2.978618	16.54217	73.94649	-26.759289	42.514084507042256	16.739401067706535	6037	156518
111.08424592018127	26	-3.6501548	14.092307	47.26648	-27.53561	41.5448275862069	13.998019224577913	6024	162542
114.7995069026947	27	-2.0897186	16.161116	107.25817	-27.088322	43.2589928057554	16.763843470589407	6013	168555
118.54448628425598	28	-2.525148	13.783223	49.28494	-29.90136	42.49295774647887	13.56971902252686	6034	174589
122.19577503204346	29	-2.3657053	16.210285	110.72456	-28.553017	42.680851063829785	17.33373669017978	6018	180607
125.74367308616638	30	-2.192529	16.899998	97.356964	-32.937786	43.201438848920866	17.621185685988145	6005	186612
128.9341139793396	31	-3.6922348	13.012241	46.06311	-29.104801	42.08391608391609	12.837062003747702	6018	192630
132.41818594932556	32	-0.96431726	15.450035	59.015457	-28.82802	44.51111111111111	15.688101963267465	6009	198639
135.3989381790161	33	-2.2653246	15.49756	48.72564	-35.8541	43.280575539568346	15.802753961328364	6016	204655
138.84012484550476	34	-2.6950371	16.468735	69.675674	-25.254646	42.90714285714286	16.53779067494093	6007	210662
142.61055898666382	35	-2.6102285	16.309776	90.772156	-33.322525	43.492753623188406	17.640634242439535	6002	216664
145.77928400039673	36	-3.8726015	14.330686	48.398994	-34.22775	41.861111111111114	14.194879314930159	6028	222692
149.35812497138977	37	-4.9220414	13.60875	42.86693	-29.119766	40.601351351351354	13.73432269154439	6009	228701
152.82476425170898	38	-2.723718	13.845763	59.21304	-30.629519	42.38732394366197	13.711745038238279	6019	234720
156.15498900413513	39	-4.305707	13.725038	43.786514	-30.63109	41.321917808219176	13.898326957314776	6033	240753
159.34046912193298	40	-2.8357556	15.483827	62.04787	-35.973278	42.9	15.631607174476427	6006	246759
162.5011808872223	41	-2.7536745	15.680954	80.74661	-28.319479	42.485915492957744	15.948303771121152	6033	252792
165.75069427490234	42	-5.246508	12.9358425	35.239937	-31.109053	40.193333333333335	12.656854093950658	6029	258821
168.82944297790527	43	-1.9819717	14.594249	41.52118	-31.756083	43.55395683453237	14.670075577071362	6054	264875
171.89314818382263	44	0.42062587	17.629341	72.49096	-27.917408	45.900763358778626	18.3264939662957	6013	270888
175.17175817489624	45	-0.91589636	16.620344	48.09482	-35.19711	44.68888888888889	16.80099938238537	6033	276921
178.4830560684204	46	-2.1090865	15.813651	68.07987	-30.972769	43.29496402877698	15.994357475118266	6018	282939
181.50882005691528	47	-2.6302931	14.301123	54.110783	-28.368237	42.11188811188811	13.974554746077509	6022	288961
184.49562001228333	48	-0.47448725	17.077284	76.0779	-31.525589	44.54814814814815	17.04274300584379	6014	294975
187.52896904945374	49	-0.59631443	13.910477	52.362015	-23.972439	44.154411764705884	14.136352115187549	6005	300980
