Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
4.5295188426971436	0	-5.2109923	14.164934	39.00028	-34.766296	40.577181208053695	13.712376816600841	6046	6046
8.036624908447266	1	-2.801389	16.3031	45.32315	-36.789856	43.273381294964025	16.01923562937939	6015	12061
10.900033950805664	2	-2.5644395	14.6357155	46.628044	-33.76627	43.2589928057554	14.545061773919782	6013	18074
13.720061779022217	3	-3.891185	14.9156275	51.958965	-29.731974	42.09090909090909	15.434458356805374	6019	24093
16.76625680923462	4	-4.846027	15.010755	36.869644	-31.158165	41.32876712328767	14.389926836868419	6034	30127
20.918843746185303	5	-5.902069	14.452954	60.419613	-34.186848	39.578947368421055	14.307950640240051	6016	36143
24.74373507499695	6	-0.08420654	15.127512	59.878746	-33.53677	45.07462686567164	15.322711104991813	6040	42183
28.513945817947388	7	-5.1114073	13.805176	53.232487	-31.021118	40.736486486486484	13.691761917736502	6029	48212
31.95924687385559	8	-4.0916123	14.751033	58.752254	-28.920498	41.582191780821915	15.229188291501771	6071	54283
36.663376808166504	9	-3.1608899	14.583525	59.492294	-24.889078	42.683098591549296	15.278803193262512	6061	60344
41.596372842788696	10	-5.068002	12.058303	35.80269	-31.198923	40.2751677852349	11.585607282865567	6001	66345
46.961580991744995	11	-2.9744532	16.015678	59.642212	-33.85735	42.5886524822695	15.99825829260679	6005	72350
52.04316782951355	12	-3.933638	15.011735	55.73399	-32.983524	41.205479452054796	15.480397595075928	6016	78366
57.326200008392334	13	-0.6598001	16.782892	52.640625	-27.444374	44.56296296296296	17.480404863269428	6016	84382
62.28835678100586	14	-5.3227935	13.506741	48.437237	-29.187204	40.05263157894737	13.66699321727746	6088	90470
66.10121083259583	15	-2.4527886	13.888342	42.582222	-26.649376	42.687943262411345	13.912153343873388	6019	96489
69.14725995063782	16	-3.3852453	14.259966	47.60516	-31.43303	42.18881118881119	13.433051321925976	6033	102522
72.25352597236633	17	-2.0714774	15.599195	51.59651	-31.531364	43.47482014388489	15.367128767287191	6043	108565
76.09217405319214	18	-4.836036	15.337122	46.66217	-30.305637	41.46206896551724	16.231948356359432	6012	114577
79.09319877624512	19	-3.3601968	15.727104	54.404728	-32.64838	41.66206896551724	15.799703484627182	6041	120618
82.11494970321655	20	-1.9218153	16.742682	75.69703	-31.615055	43.73913043478261	17.0635234089538	6036	126654
85.17294788360596	21	-2.0390189	15.691612	64.28852	-29.443459	44.175182481751825	16.552018339105576	6052	132706
88.16472911834717	22	-3.190932	15.00634	72.22499	-34.71155	42.02797202797203	15.52527560465888	6010	138716
91.12260508537292	23	-1.4376162	15.330449	52.276978	-32.65062	43.934306569343065	15.371888447622862	6019	144735
94.03814387321472	24	-3.756152	14.297943	53.55939	-27.92731	41.673611111111114	15.088088505097467	6001	150736
96.99623084068298	25	-0.49779826	16.253761	85.02266	-25.527832	45.34586466165413	17.346553952494318	6031	156767
99.96703004837036	26	0.6660048	16.174646	50.27564	-32.771126	45.57575757575758	16.26304660978808	6016	162783
102.98016571998596	27	4.154529	17.556883	64.963394	-25.664524	49.752066115702476	18.001047256833036	6020	168803
105.88543486595154	28	-0.34717152	15.428441	41.978046	-29.012089	45.225563909774436	15.375312964039338	6015	174818
109.06417083740234	29	-1.5190755	15.217315	51.372704	-29.107052	44.02189781021898	15.573919408465617	6031	180849
111.86785888671875	30	-0.59517497	14.519359	55.879204	-28.447613	44.525925925925925	14.92044564403943	6011	186860
114.92786979675293	31	-0.58533233	15.479521	47.546146	-31.024864	44.55555555555556	15.575225658750103	6015	192875
118.01145792007446	32	-3.0177503	15.059513	53.029606	-32.415745	42.35664335664335	15.185752245128587	6057	198932
120.84370875358582	33	1.9259353	18.06789	72.14131	-35.723392	46.9296875	18.6070314304121	6007	204939
124.15681672096252	34	-1.9672518	13.494934	42.027115	-27.712505	42.90070921985816	13.901530587978309	6049	210988
127.37854480743408	35	-0.5053009	13.883488	49.675953	-25.059484	44.375	14.471542815836473	6035	217023
130.68635892868042	36	4.053458	18.945477	77.606575	-30.594597	49.39344262295082	20.291142126654304	6026	223049
133.57886695861816	37	4.62756	15.568418	75.0533	-26.022593	49.58196721311475	16.233359784732315	6049	229098
137.0070116519928	38	2.6222413	15.328257	59.68378	-21.623241	47.52755905511811	16.193625056391326	6036	235134
139.84176898002625	39	6.5518575	17.295347	50.961834	-25.64666	51.91379310344828	18.62912484549175	6022	241156
142.8775279521942	40	3.8160193	16.527887	66.74365	-22.892117	48.89430894308943	17.854795082813737	6014	247170
145.82496881484985	41	9.935926	16.70486	70.0307	-21.249458	55.20183486238532	18.546633422596646	6017	253187
148.9201967716217	42	4.112149	16.55702	80.12895	-20.863474	49.43089430894309	17.681500736812545	6080	259267
152.25803899765015	43	7.8039637	16.110664	63.862816	-19.06139	52.99122807017544	17.572154814012798	6041	265308
155.5517120361328	44	7.9632115	17.512136	90.62391	-19.33456	53.1858407079646	19.37955709356557	6010	271318
158.48229694366455	45	10.190905	21.13228	86.37869	-15.689334	55.211009174311926	22.740689553460957	6018	277336
162.1236710548401	46	9.197414	19.402372	119.09682	-23.410526	55.27522935779817	20.737711763055696	6025	283361
165.68663597106934	47	11.044371	18.431078	106.470894	-20.174225	57.23809523809524	20.852554398521793	6010	289371
168.5370078086853	48	19.804047	22.794622	88.311386	-16.768053	67.71910112359551	25.577811998053146	6027	295398
171.41378784179688	49	15.577667	18.397675	81.53509	-17.035042	63.410526315789475	22.143310614859505	6024	301422
